community_area,community_area_name,n_schools_5e,avg_leaders_score,avg_teachers_score,avg_families_score,avg_environment_score,avg_instruction_score,sr_total_requests,sr_total_closed,sr_avg_share_closed,sr_avg_median_ttc_hours,sr_avg_p75_ttc_hours,sr_avg_pct_closed_24h,sr_avg_pct_closed_7d,sr_avg_pct_closed_30d,cps_n_schools,cps_student_attendance,cps_teacher_attendance,cps_mobility_rate,cps_graduation_rate,cps_college_enrollment,acs_total_population,acs_poverty_rate,acs_median_household_income_weighted,acs_unemployment_rate,acs_pct_less_than_hs,acs_pct_bachelor_plus,acs_snap_rate,acs_public_assist_rate,acs_rent_burden_30p_rate,acs_rent_burden_50p_rate,acs_crowding_rate,acs_pct_renter,acs_vacancy_rate,acs_no_vehicle_rate,acs_pct_white_non_hispanic,acs_pct_black_non_hispanic,acs_pct_hispanic
41,HYDE PARK,4,49.5,44.25,52.708333333333336,30.875,47.083333333333336,12407,11904,0.96421,869.30609,1859.63198,0.25777,0.45546,0.60883,90.10833333333332,91.67083333333332,8.100000000000001,,,4,20071,0.2299,79836.0,0.0711,0.0354,0.7876,0.1146,0.0225,0.6107,0.3778,0.0127,0.6377,0.0937,0.4273,0.3971,0.2497,0.0842
42,WOODLAWN,8,53.833333333333336,47.04166666666666,46.66666666666667,49.0,60.208333333333336,19599,19183,0.9724,200.8177,1028.307366666667,0.3064,0.5168333333333334,0.7078555555555555,82.40416666666667,89.42777777777779,22.42083333333333,85.48333333333335,41.95555555555556,8,26211,0.3137,41499.0,0.1197,0.1163,0.3185,0.3684,0.0528,0.5504,0.3466,0.0121,0.7401,0.1709,0.3579,0.103,0.7684,0.0417
43,SOUTH SHORE,11,53.4,51.1,47.96666666666667,53.333333333333336,61.3,41588,40971,0.98624,436.29662,974.93863,0.28746,0.4845399999999999,0.6654899999999999,83.34861111111111,90.24791666666668,18.566666666666663,53.66666666666666,46.05,13,38763,0.2574,45919.0,0.156,0.1116,0.2411,0.3652,0.0576,0.5844,0.3005,0.0333,0.7336,0.1353,0.3686,0.0199,0.9226,0.0261
44,CHATHAM,10,51.88333333333334,51.28333333333334,50.91666666666666,47.43333333333334,63.56666666666668,34306,33673,0.9845533333333332,126.21265333333332,591.6237733333332,0.3242,0.6091866666666667,0.7905599999999999,85.22833333333332,89.10370370370372,22.78333333333333,84.89999999999999,30.766666666666666,10,29895,0.2482,48579.0,0.1678,0.0986,0.289,0.3681,0.0717,0.6446,0.3745,0.0219,0.6116,0.1369,0.2965,0.0125,0.9211,0.0424
45,AVALON PARK,4,53.75,49.0,42.66666666666666,42.333333333333336,58.91666666666667,12571,12305,0.984125,158.768675,818.471,0.342075,0.548225,0.745275,85.57083333333333,90.06666666666668,19.691666666666663,78.23333333333333,36.56666666666667,4,9071,0.1012,61113.0,0.1341,0.077,0.3416,0.2773,0.0698,0.4893,0.321,0.0033,0.3358,0.164,0.2168,0.0001,0.8833,0.0566
46,SOUTH CHICAGO,12,49.86111111111112,47.05555555555555,43.41666666666666,42.25,53.388888888888886,32050,31412,0.9794333333333332,129.0060222222222,657.2645777777777,0.2864777777777778,0.5408222222222222,0.7535333333333333,85.17222222222223,89.93809523809523,23.366666666666664,70.66666666666667,34.54166666666667,12,27551,0.3018,45180.0,0.1457,0.1839,0.197,0.4202,0.0683,0.6182,0.337,0.0453,0.56,0.1954,0.3247,0.0465,0.6893,0.2358
47,BURNSIDE,1,57.66666666666666,54.333333333333336,52.0,53.0,72.33333333333333,3000,2951,0.9838333333333332,130.56199999999998,675.4734,0.2941333333333333,0.5539666666666667,0.7609333333333334,89.26666666666667,89.66666666666667,19.166666666666668,,,1,2304,0.2678,47054.0,0.1882,0.1334,0.2359,0.4164,0.0483,0.3589,0.0993,0.0,0.4686,0.0937,0.3411,0.0,0.9184,0.0482
48,CALUMET HEIGHTS,5,56.8,59.8,57.46666666666668,49.56666666666666,64.8,17622,17225,0.9832,96.12948888888889,536.3670999999999,0.3476222222222222,0.6148444444444444,0.7985777777777777,93.04,90.39666666666668,8.833333333333334,,,5,11229,0.1853,64925.0,0.1133,0.058,0.3947,0.1519,0.0494,0.5839,0.4099,0.0021,0.2884,0.068,0.175,0.0027,0.9231,0.0559
49,ROSELAND,14,52.488095238095234,51.63095238095239,47.17948717948718,48.32142857142857,57.29761904761905,50471,49680,0.9744692307692306,485.57563846153846,1477.0396384615383,0.2637538461538461,0.4909384615384615,0.7020769230769232,83.67023809523809,90.0875,18.81025641025641,73.97777777777777,39.825,14,36635,0.2234,55319.0,0.1742,0.1205,0.2323,0.3293,0.0729,0.6809,0.4589,0.02,0.4546,0.181,0.226,0.0197,0.9181,0.0315
50,PULLMAN,7,46.57142857142857,46.07142857142857,48.30952380952381,45.97619047619048,55.69047619047619,8427,8280,0.9757272727272728,134.97324545454546,522.0023090909091,0.2820272727272727,0.5458090909090909,0.808790909090909,82.14285714285714,90.78666666666668,27.51111111111111,80.65,38.12222222222222,7,6744,0.1735,61948.0,0.1345,0.0947,0.3593,0.279,0.0509,0.5173,0.3226,0.0204,0.4276,0.1773,0.1191,0.1244,0.7709,0.0773
51,SOUTH DEERING,3,45.05555555555555,40.66666666666666,44.5,37.833333333333336,42.44444444444445,18531,18219,0.9857777777777778,77.78436666666667,421.1828444444444,0.3713777777777778,0.6260222222222223,0.8313,88.05,91.02222222222224,14.7,,,3,12854,0.2995,49729.0,0.1528,0.1592,0.1598,0.3362,0.0253,0.6266,0.4516,0.0246,0.4653,0.1464,0.2257,0.0591,0.6216,0.308
52,EAST SIDE,6,52.888888888888886,51.11111111111112,52.638888888888886,46.36111111111112,48.55555555555557,20448,19263,0.958475,6327.329900000001,6732.933775,0.204575,0.38665,0.549125,88.80833333333334,90.08611111111112,8.46111111111111,84.16666666666667,55.333333333333336,6,22687,0.1911,64191.0,0.1038,0.2367,0.1547,0.2435,0.0463,0.4803,0.3372,0.0521,0.3523,0.0749,0.1147,0.1344,0.0236,0.8339
53,WEST PULLMAN,8,55.79166666666667,55.520833333333336,51.16666666666666,54.083333333333336,64.41666666666667,34950,34380,0.958375,428.8087625,1676.6617,0.233225,0.478775,0.7023375,86.72291666666666,91.1452380952381,17.7375,79.3,57.5,8,24549,0.2562,53906.0,0.198,0.1312,0.1796,0.4224,0.0941,0.6899,0.3865,0.0363,0.3987,0.1918,0.2394,0.0084,0.8855,0.0859
54,RIVERDALE,5,57.133333333333326,50.93333333333333,45.13333333333333,49.06666666666667,57.93333333333334,4018,3954,0.9825875,247.708025,751.3608125,0.52205,0.6827124999999999,0.8112125,84.0,89.91250000000001,16.926666666666666,87.16666666666667,58.4,5,7518,0.6198,16990.0,0.3024,0.1572,0.0463,0.6826,0.1156,0.5352,0.3335,0.0942,0.8956,0.0787,0.329,0.0047,0.9481,0.0122
55,HEGEWISCH,2,49.91666666666667,46.91666666666667,52.66666666666667,36.333333333333336,49.0,9130,8862,0.9713333333333334,105.9408,685.0281333333334,0.3118333333333333,0.5796333333333333,0.7679,90.38333333333333,89.75,9.566666666666666,,,2,8853,0.0976,61827.0,0.0917,0.1321,0.187,0.2005,0.0485,0.5263,0.3564,0.0176,0.3289,0.1475,0.0949,0.3584,0.0971,0.5254
56,GARFIELD RIDGE,6,49.333333333333336,51.66666666666666,52.69444444444445,47.5,50.44444444444445,37260,36698,0.9852916666666666,108.68678333333332,478.2780916666666,0.321175,0.5836166666666667,0.81995,89.71944444444443,92.66666666666666,8.244444444444445,78.0,69.96666666666667,6,36732,0.0673,93995.0,0.0369,0.1741,0.2524,0.1161,0.0299,0.4772,0.1832,0.0317,0.1666,0.0344,0.0808,0.3282,0.0369,0.5908
57,ARCHER HEIGHTS,6,49.333333333333336,45.77777777777778,51.888888888888886,49.5,48.94444444444445,19182,18952,0.9876833333333334,36.27166666666667,243.78705,0.4374,0.6989833333333334,0.8736,86.78888888888889,90.31666666666666,8.166666666666666,85.27777777777777,67.43333333333332,6,13414,0.1059,56712.0,0.1154,0.3172,0.1361,0.2028,0.0286,0.5798,0.1633,0.1038,0.3563,0.0601,0.2589,0.1287,0.0157,0.7946
58,BRIGHTON PARK,12,51.388888888888886,50.638888888888886,53.16666666666666,50.583333333333336,48.86111111111112,37272,36755,0.9905777777777778,42.28108888888889,307.2886777777778,0.4632444444444444,0.7198666666666667,0.8641888888888889,87.78333333333335,92.0125,8.096969696969696,42.73333333333333,45.13333333333334,12,42994,0.1787,64839.0,0.0773,0.3087,0.1616,0.2782,0.0512,0.4119,0.2399,0.0849,0.4364,0.0644,0.1166,0.0645,0.0217,0.7878
59,MCKINLEY PARK,5,63.4,61.866666666666674,67.93333333333332,64.83333333333333,66.0,19261,18861,0.9775285714285714,64.81934285714286,1293.4013142857143,0.4192571428571429,0.6575428571428572,0.7943714285714286,92.4125,93.00833333333333,10.691666666666666,,,5,14854,0.1389,86639.0,0.0822,0.2132,0.3238,0.1396,0.0558,0.6222,0.3304,0.0271,0.2985,0.0901,0.1363,0.1352,0.0324,0.5696
60,BRIDGEPORT,5,57.266666666666666,58.53333333333334,58.0,48.06666666666666,50.66666666666667,31779,30945,0.9746333333333334,65.28576666666667,396.2496,0.3608666666666666,0.6224333333333334,0.8095333333333333,92.23666666666666,92.65,5.92,,,5,33675,0.1761,78068.0,0.058,0.1702,0.3969,0.128,0.035,0.4124,0.2652,0.0343,0.4963,0.0615,0.2026,0.321,0.0282,0.2423
61,NEW CITY,15,51.91111111111111,50.577777777777776,46.37777777777778,49.422222222222224,52.51111111111111,45680,45192,0.9913,78.76262222222222,397.6977833333333,0.3523388888888889,0.6295833333333333,0.8415722222222223,84.61999999999999,91.9922222222222,14.3,73.5,41.21666666666667,15,40140,0.2748,52172.0,0.1255,0.2784,0.1422,0.3037,0.0682,0.5162,0.3161,0.0696,0.6067,0.1298,0.1928,0.0895,0.1977,0.6738
62,WEST ELSDON,5,53.93333333333334,53.66666666666666,61.266666666666666,63.2,69.8,17597,17394,0.9902888888888888,70.87259999999999,330.6793555555556,0.3946111111111111,0.6525000000000001,0.8502555555555555,91.79666666666664,92.27,4.800000000000001,96.56666666666666,72.2,5,17901,0.1084,79052.0,0.0649,0.2339,0.1774,0.1618,0.0296,0.6212,0.2251,0.0552,0.2834,0.0351,0.12,0.1324,0.0133,0.8314
63,GAGE PARK,15,52.04444444444445,52.0,54.28888888888889,47.37777777777777,50.66666666666666,37806,37373,0.9922916666666666,60.61000000000001,390.584375,0.3653666666666667,0.676225,0.851575,89.48666666666666,91.5439393939394,8.96,84.54166666666667,52.85,15,36081,0.1535,62481.0,0.1176,0.3395,0.1182,0.294,0.0712,0.4895,0.1859,0.0944,0.417,0.0582,0.1921,0.0358,0.0624,0.8882
64,CLEARING,4,64.41666666666666,64.58333333333333,66.58333333333333,52.0,51.55555555555557,21878,21519,0.9682857142857144,95.94614285714285,362.5455428571428,0.4163,0.6353142857142858,0.8336142857142858,89.125,92.4,6.933333333333333,,,4,23629,0.0805,80560.0,0.0659,0.1544,0.23,0.1378,0.0355,0.5415,0.2984,0.0357,0.2665,0.0413,0.0705,0.3023,0.0094,0.6661
65,WEST LAWN,4,56.16666666666667,56.41666666666666,59.833333333333336,48.0,51.91666666666666,25382,24622,0.9799666666666664,89.49374444444445,412.55573333333336,0.3520111111111111,0.6202111111111112,0.8140111111111111,89.53333333333333,90.48333333333332,7.25,83.33333333333333,61.06666666666666,4,31942,0.1807,69928.0,0.0804,0.3008,0.18,0.1891,0.0189,0.5918,0.2621,0.0774,0.2384,0.0278,0.1094,0.0855,0.0199,0.8797
