community_area,community_name,total_population,poverty_rate,median_household_income_weighted,unemployment_rate,pct_less_than_hs,pct_bachelor_plus,snap_rate,public_assist_rate,rent_burden_30p_rate,rent_burden_50p_rate,crowding_rate,pct_renter,vacancy_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black_non_hispanic,pct_hispanic
52,EAST SIDE,22687,0.1911,64191.0,0.1038,0.2367,0.1547,0.2435,0.0463,0.4803,0.3372,0.0521,0.3523,0.0749,0.1147,0.1344,0.0236,0.8339
53,WEST PULLMAN,24549,0.2562,53906.0,0.198,0.1312,0.1796,0.4224,0.0941,0.6899,0.3865,0.0363,0.3987,0.1918,0.2394,0.0084,0.8855,0.0859
54,RIVERDALE,7518,0.6198,16990.0,0.3024,0.1572,0.0463,0.6826,0.1156,0.5352,0.3335,0.0942,0.8956,0.0787,0.329,0.0047,0.9481,0.0122
55,HEGEWISCH,8853,0.0976,61827.0,0.0917,0.1321,0.187,0.2005,0.0485,0.5263,0.3564,0.0176,0.3289,0.1475,0.0949,0.3584,0.0971,0.5254
56,GARFIELD RIDGE,36732,0.0673,93995.0,0.0369,0.1741,0.2524,0.1161,0.0299,0.4772,0.1832,0.0317,0.1666,0.0344,0.0808,0.3282,0.0369,0.5908
57,ARCHER HEIGHTS,13414,0.1059,56712.0,0.1154,0.3172,0.1361,0.2028,0.0286,0.5798,0.1633,0.1038,0.3563,0.0601,0.2589,0.1287,0.0157,0.7946
58,BRIGHTON PARK,42994,0.1787,64839.0,0.0773,0.3087,0.1616,0.2782,0.0512,0.4119,0.2399,0.0849,0.4364,0.0644,0.1166,0.0645,0.0217,0.7878
59,MCKINLEY PARK,14854,0.1389,86639.0,0.0822,0.2132,0.3238,0.1396,0.0558,0.6222,0.3304,0.0271,0.2985,0.0901,0.1363,0.1352,0.0324,0.5696
60,BRIDGEPORT,33675,0.1761,78068.0,0.058,0.1702,0.3969,0.128,0.035,0.4124,0.2652,0.0343,0.4963,0.0615,0.2026,0.321,0.0282,0.2423
61,NEW CITY,40140,0.2748,52172.0,0.1255,0.2784,0.1422,0.3037,0.0682,0.5162,0.3161,0.0696,0.6067,0.1298,0.1928,0.0895,0.1977,0.6738
62,WEST ELSDON,17901,0.1084,79052.0,0.0649,0.2339,0.1774,0.1618,0.0296,0.6212,0.2251,0.0552,0.2834,0.0351,0.12,0.1324,0.0133,0.8314
63,GAGE PARK,36081,0.1535,62481.0,0.1176,0.3395,0.1182,0.294,0.0712,0.4895,0.1859,0.0944,0.417,0.0582,0.1921,0.0358,0.0624,0.8882
64,CLEARING,23629,0.0805,80560.0,0.0659,0.1544,0.23,0.1378,0.0355,0.5415,0.2984,0.0357,0.2665,0.0413,0.0705,0.3023,0.0094,0.6661
65,WEST LAWN,31942,0.1807,69928.0,0.0804,0.3008,0.18,0.1891,0.0189,0.5918,0.2621,0.0774,0.2384,0.0278,0.1094,0.0855,0.0199,0.8797
66,CHICAGO LAWN,54409,0.216,54417.0,0.1167,0.2633,0.1343,0.3492,0.0508,0.6214,0.3591,0.0504,0.4675,0.0807,0.2238,0.0316,0.3317,0.6103
67,WEST ENGLEWOOD,28144,0.3207,40123.0,0.1629,0.2268,0.1084,0.4492,0.0568,0.7085,0.4582,0.0398,0.4818,0.2055,0.2892,0.0053,0.6803,0.2748
68,ENGLEWOOD,23195,0.3354,31831.0,0.23,0.2164,0.1207,0.5242,0.0894,0.6367,0.4146,0.0142,0.6765,0.2483,0.43,0.0105,0.8578,0.095
69,GREATER GRAND CROSSING,29143,0.2951,42430.0,0.1706,0.1501,0.2057,0.4685,0.0582,0.5937,0.3365,0.0203,0.6368,0.1769,0.4104,0.0147,0.8809,0.0724
70,ASHBURN,42007,0.1115,84085.0,0.0974,0.1821,0.2187,0.1953,0.0501,0.6204,0.4551,0.0295,0.1573,0.0303,0.0787,0.0818,0.4263,0.4652
71,AUBURN GRESHAM,43779,0.2799,48687.0,0.1759,0.1376,0.1964,0.3704,0.0522,0.5967,0.3638,0.0385,0.4999,0.1364,0.2667,0.0053,0.9273,0.0454
72,BEVERLY,19521,0.059,131824.0,0.0855,0.0254,0.5851,0.0733,0.0349,0.4452,0.2091,0.0056,0.1556,0.0877,0.0529,0.5736,0.3102,0.0662
73,WASHINGTON HEIGHTS,24851,0.1641,64726.0,0.1242,0.087,0.2659,0.2781,0.0589,0.6356,0.4585,0.0065,0.2689,0.0916,0.1639,0.0141,0.9295,0.0368
74,MOUNT GREENWOOD,19059,0.0538,113249.0,0.043,0.048,0.4183,0.026,0.0105,0.3723,0.1644,0.0148,0.1535,0.0275,0.0334,0.8237,0.035,0.0935
75,MORGAN PARK,20865,0.1768,74567.0,0.0938,0.051,0.4071,0.2141,0.036,0.6322,0.3899,0.0112,0.2865,0.0569,0.1073,0.2866,0.6115,0.0567
76,OHARE,14145,0.0867,81788.0,0.0421,0.0798,0.414,0.0762,0.017,0.3395,0.2052,0.05,0.5849,0.045,0.0785,0.6175,0.0604,0.114
77,EDGEWATER,56563,0.159,76629.0,0.076,0.0579,0.6196,0.1309,0.031,0.4939,0.2586,0.0378,0.6258,0.0869,0.3853,0.5175,0.1231,0.1638
