community_area,year,ward,n_requests,n_closed,share_closed,n_open,share_open,median_ttc_hours,p75_ttc_hours,mean_ttc_hours,median_age_open_hours,p75_age_open_hours,pct_closed_24h,pct_closed_72h,pct_closed_7d,pct_closed_30d,small_n_requests,small_n_closed
3,2024,40.0,327,317,0.9694,10,0.0306,42.4472,147.7164,428.9691,14864.5342,15607.6698,0.3731,0.5596,0.7492,0.8807,False,False
3,2024,46.0,7370,7092,0.9623,278,0.0377,29.9969,170.4572,463.7635,13833.0228,15350.7374,0.4383,0.6137,0.7195,0.8419,False,False
3,2024,47.0,3101,2951,0.9516,150,0.0484,29.7769,139.3025,463.3296,13502.3072,15334.0499,0.4157,0.6195,0.7394,0.8449,False,False
3,2024,48.0,1217,1167,0.9589,50,0.0411,47.2831,301.5007,612.1102,12221.0361,14915.9937,0.3763,0.553,0.6623,0.8003,False,False
3,2025,40.0,408,378,0.9265,30,0.0735,47.7921,241.5868,328.8796,3156.2482,4286.0208,0.3627,0.5245,0.6691,0.8113,False,False
3,2025,46.0,7766,7160,0.922,606,0.078,28.8047,184.3883,268.8646,3633.4342,5437.0115,0.4284,0.5797,0.6844,0.8268,False,False
3,2025,47.0,2986,2727,0.9133,259,0.0867,44.4006,189.2582,290.672,3657.5428,5145.4428,0.3801,0.5445,0.6738,0.8151,False,False
3,2025,48.0,1524,1361,0.893,163,0.107,41.3206,220.2867,338.3312,3613.3147,5527.7296,0.3825,0.5341,0.645,0.7684,False,False
4,2021,39.0,24,17,0.7083,7,0.2917,32112.5703,33674.9028,28876.074,38956.7894,39211.2396,0.0,0.0,0.0,0.0,True,True
4,2021,40.0,6734,6649,0.9874,85,0.0126,72.0667,594.1308,1283.3349,38964.7544,40640.1703,0.3368,0.4935,0.6002,0.755,False,False
4,2021,47.0,3304,3242,0.9812,62,0.0188,74.4179,663.6236,1285.9617,38912.7988,40733.4497,0.3284,0.4831,0.5893,0.7415,False,False
4,2022,39.0,142,126,0.8873,16,0.1127,6629.7461,8154.5007,6548.7275,29689.3788,31435.0706,0.0915,0.1056,0.1338,0.2042,False,False
4,2022,40.0,6512,6419,0.9857,93,0.0143,70.5317,474.0821,1141.8828,30270.9453,32488.1994,0.3368,0.4975,0.607,0.7789,False,False
4,2022,47.0,3684,3631,0.9856,53,0.0144,69.8986,399.0897,1127.3187,30140.59,32264.6908,0.3415,0.503,0.6325,0.794,False,False
4,2023,39.0,512,499,0.9746,13,0.0254,91.9336,357.5946,799.2009,26093.7033,26098.6583,0.3262,0.457,0.5781,0.8223,False,False
4,2023,40.0,5783,5677,0.9817,106,0.0183,47.1414,256.8856,663.5067,21339.5525,24908.5574,0.3747,0.5648,0.692,0.8658,False,False
4,2023,47.0,3501,3431,0.98,70,0.02,50.5997,238.8451,691.4153,21511.161,22778.9238,0.359,0.5513,0.6972,0.8512,False,False
4,2024,39.0,738,708,0.9593,30,0.0407,72.5447,317.4833,523.342,13872.4788,15219.3917,0.3062,0.4756,0.607,0.8374,False,False
